id	name	followers
3yMtvgD2LCo6Ws4Z08fTFj	Landy Wen	39962
3PpIzdLny8HwTnKp9joXdj	Tiger Hu	61944
757epCpvbpqyBoMMzbIC3g	JC 陳詠桐	42096
4PjY2961rc0MHE9zHYWEnH	9m88	68690
4DEItwf281SHmTnS8q3Mn9	J.Sheon	90532
42l9R70OWvywz9JN9DCVOM	Ada Zhuang	85562
48Smhc0ISwYYRSad1uXSns	Nan Quan Mama	17661
1KkuALrf8T61dUSezl80Y4	Bobby Chen	67038
7aMQdNM05rPkcHS1ethHUx	頑童Mj116	159947
1dywcVTpMrP7VmQUhngSce	TFBOYS	138012
6eLpNMX3ZygSrUuxAlIWIx	Eve Ai	111221
7ya3wFqG9X35S7L7XSrE2i	Sam Lee	54911
4maR8o69pil8CrclOiFVVW	MC HotDog	62892
35ig3ZjuqVyGeovLsj4xNm	那英	110304
6U7CvLXWSS3t3a9iwY52oA	Jenny Tseng	23936
5E94Yc9O9D4N3oTr4SzJLx	Chyi Yu	28169
7v9Il42LvvTeSfmf1bwfNx	Deserts Chang	102719
19tf1og71pOYoYOdqyozs2	Sarah Chen	45339
10LslMPb7P5j9L2QXGZBmM	Wang Feng	39244
0TtVGvZ6bN7aQTTAixMFYU	Mavis Hee	21984
0UtXMxHMXhwQUI6G6TFDt1	Gin Lee	40710
1mfzcypCggFwpCJ1gmi8BK	Gary Chaw	61182
7tuWI2luTp61HHGmviWid8	羅大佑	47834
0B2g2ZF6jP0WkaZb33iPhX	Julie Sue	23287
4rdSHzO4enUlVxdQeHPGTp	Rachel Liang	88248
6OiFtK426XJWnOJ2HYlSbf	Claire Kuo	79762
0zFBdI3ErhNDcIPAKiGoL0	Priscilla Abby	26318
0iW8EYj3iP2gpO5eU2Pvta	Valen Hsu	78367
3Xp3DA50zRP4TYOtNR7k1T	Soft Lipa	76874
6v6qfXRvTRGGsmGfDvtMIK	Karencici	22928
1xCrrnnj9xif5G0y3ie5dM	Patrick Brasca	11825
6O9BAkGBRRzHUDrWqdT68r	林志炫	30234
3lbgPpyP2yep0sqwWTgasT	Aaron Kwok	63041
