id	name	album_id
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5lqE2qT3nGLW6FGoJYfwUT
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3mqG5FjCm7XuCx5IHN3ZSg
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5clrYp291Dg0XL6rgvOgoB
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0ByfRfYXHHhGjsXEabfDmf
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	35nLe33atE2S9Oo4fBRWll
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0AMaK4fzYnhvi4HTNVvKet
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1aYDr6muZPmwYvstDnIbeH
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1TN7aPDawSKY2yJgGRuBtD
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2afPHXn7m4KQECRsVn41us
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2mfQMCY9GF34zQ8bqhIrmQ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5Ld4kLIL16CwUAx7IbxtIQ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6Py0A0ft3OlxvS6FgVvdJN
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2P1g6pMd57brcxfpBcb1cM
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	77IElSKPvc2zdOh46FZgbe
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2kMP7E1hqEbZekixQBMiPg
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4cj9Li1HSSvRGEXsDU46dS
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7oz7WhrdSfsC3GkAUPOzgL
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6pmapc89HjY4f16ARzrmBB
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2SrwWoOk7egNTcaJcb4tuO
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3CFQKBIkZKTRxU3EvZ1oHY
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1kRCmbBNY9Q95npZaDuUqG
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6TVaugBe7AkbewAGUPabeg
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	39PHyEjzFKafPr9EM7vQVk
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7satNc3jeX2xJ9tgqrUB9N
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6D7H9eUkaMPJ1M3p6ioljZ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6rRydp9XlVoLfTtA3qpWcn
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7L8PtRIVYuqIeR9kXwmTek
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2GnsBsZ13FQvBp4LPf879L
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3cpkhODgoYVZGWMMLqOeed
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	27I7fCoQRSdL9PT1nFWEPC
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7vSaodFzUYCexkKXeEhkpc
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	41FqSrFn288xsdvADjJGxH
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2RdWEfazJrGTiIA1x97y1v
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7u9FMp2aGdMuvzm0fqTXJI
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2Y2S4PZh5Lfcm6eKU8aEw9
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0FJMLVgMVrMRzuYHBEqDC7
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	73TuSaNd471d1A8k5sqax1
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0xWySBAzp6b37EARWzycQJ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2Fqnupm2XuhY25Wa3yjnvY
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0yS6jOCvKaY6KfJ1Cpc7FZ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7Gccj3tJAmTV5o2LsDNmwf
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6pIXXqOGDkatrb00Oblrgo
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1RDzEskhUbajEbNp9xeglp
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7IFzhijNbm9hxS1E2zNJRe
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5KQ3Hap6tV2aWAytefhqJ7
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3CCBF9PB51KjJyiqCSsKyR
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	55QITUV7qbf8Ueg5ZYvWqa
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6QxYLlLu4gVBeNs1wZoKoZ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7iCi34kBpXKyBcx03AXXDw
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6DGwgCYdVm3qScnSXAQqq7
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1aNkIWX1Uz0mSUK3OAFygO
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3VN1ZgnBqsbeiSZSJjcSaD
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2wF4yG6uRi8I91x2X3NJnL
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4IHCvg9UleGOf7v9VJKblR
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6cGDAwmjAE5i2a9fIY6Cu8
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1q4sJbTu0o0aGzdaNWmKwe
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6gsyTuDG2SITfmGhEuujlU
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6EODDGlOzGMCnyUgIxeUi3
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6r1cTuNeLEj04rzoWnzIFE
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7MWhnsid4SWJcSGw9B855Z
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4YwW3Qk9q7ni3RWPCk8F2i
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	57iF5VcisROQxwYEjZlST5
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2a1k7WaEdL0gln0TM30k9f
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4K52IZD6BM7DZkVs7L9VwJ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1UGbhrN8OQJikVYLjvDBMK
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	606yOD3rzyixD9DHTDbG1l
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3tCHkC5zpLup3zWjUjiO28
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2jp6e6IsU21axZVG2WBDzs
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	37LxBWvosgjxeos5bo48RU
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3uubQkOvcmltQLH0gRNbSj
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	46FMxeQv5GSFwrCgnnwmxU
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3YCHgKmLmjJZ0HrSOhD0ll
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5eCb7QihmF0VCFXCCMqMQY
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	74xjBNy33KJE8nsyHEVbQO
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1bLVJ2Swwxdm2HFROOXNse
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4a4AczO0gVcMkAoqFXxPLA
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4rb18hYv2XXN1b0zAnEjJk
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0jPKa9XfNupVyi6u7gf8UG
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	30Y9J4DCazTldftQCP6mGx
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1HdvQWcdn9DBT43MDQvtZe
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0HJkfIkMwPDH2rSjLUuTFL
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1frU5PezpjokLBrfy7l4i1
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0R4r11iZE5C5zTUcDITnXD
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6Dm5P51VOuA93Og2cXFTDP
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	06VCQo4BGoXjS59sKfBhP4
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3v2PzCxxdp9GfJEKWEC8eI
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	7wl0BGxAqf4fORwyaH3vzT
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6vcHE8ci8vVMCI9gJKCyC4
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	565H1jWmplNNyUhynHZNim
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	35vf79jnOBG3WZHQTzIl6a
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0Ib0BfupbXC4tFOv7eNHZl
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6iwzk5i7zFB3jNPgNLaoEL
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5LH67ibDn7wCYxUuXl0loo
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5WZ6tLQeUyP0ockZq9k8UQ
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0u5YfIRAFtkoXkjGIdDSuU
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5Lf4UNtg9EIt135pSzzlDE
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5vBXZ71SafQUtOD9DEZULw
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	756Bw3VFEOPr823MN5ZOHU
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5EGaBEEXcwNr3W8E6e3iJX
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5nQiLefWQqNZLwCXlVV1yt
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1GcU0TrmKRT2RXVsmCFU6i
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	78Z0qzLySqPuRvisCrVqhP
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	5BZIrbFiSeJgdbY96ReQPH
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6hBt8XHhLQkbIYJD4L0CTD
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4JfL5RX8ktuZQKebLmspg1
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1FwvS6U5vg2nCqVIZLZvbl
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0Xc96455vGlCJbc5TZg8nP
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3PLKouCXePSV5YP6edHnn0
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3XsGyYKhnfNAtkTHlLZ86Y
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	0eIZoN7GLzovHcbiMwC6Cq
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	3zZ6GMRbjVRmlTk4vK551i
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4zZcHi4uv95s07ShWZ9X5k
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6vRwvtb8yeaLuTV7NRqgs8
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	2TlkCKktRUCbPukiuQqu5T
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	4QUmaboYGilFry5XZeeUi5
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	45I9zOLkpyzEBuN2wodeyF
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	1ghicsbD7FXxS25N8VGcKi
2elBjNSdBE2Y3f0j1mjrql	Jay Chou	6RzWIntyswksURE4NYRpQB
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	2jxyIfyUY0yhPANWWrwnca
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	62GeP6I9rQ8gjLQlUJsuIc
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	0L4EfOigWI6pSjJlJI3yba
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	2BllRBDJwm9kthtOoYTzNK
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	4fHoyOJIgwB3j9GDy3CF3F
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	4kXABOKrhJ2jKUNYGRQPr8
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	6gQh7mS17suaoPKvc8gnWQ
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	1hTBgTLTxoaK9TJ8YmnYU5
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	6YB1jg3GQOt98JAdVEyGwG
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	2jzTdhgI2kvDx6NerFsRe8
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	6D0BwgO8fScZhwVFP6k6N9
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	1yfwMCcUlm0mewJVrJIEfk
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	5HYsVd66vJe5oWa5Em5q08
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	31L287Oas7xwJdOwTzWzoz
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	39xeBR9gccwnwvDpzvq6ze
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	4fWlf2PWAVVJD1hCYWwNBH
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	3Hl00RKpdMnWtOal6WBlGK
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	0MK41zbMjQXXLqgukSGZwz
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	5Ahq8CVYewyMVVjIcHgqUO
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	2oF2nQnJr8Fg43g2oo68uX
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	0q4TMm2GKDQBnVn45bvCqd
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	4UuBExsk2p9Nd3xDgsX7mV
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	6L8xaNHZkd5SdTp17V2WwO
7Dx7RhX0mFuXhCOUgB01uM	JJ Lin	1Vuz6SOwTTBn4ucshKDwkn
